Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,60,1672,1732,Sinku,MMR010010
 Rural,463,32338,32801,Sinku,MMR010010
 Total,523,34010,34533,Sinku,MMR010010
