Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,3422,100385,103807,Hlinethaya,MMR013008
 Rural,646,44258,44904,Hlinethaya,MMR013008
 Total,4068,144643,148711,Hlinethaya,MMR013008
