Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,91,5326,5417,Kyaiklatt,MMR017025
 Rural,36,38295,38331,Kyaiklatt,MMR017025
 Total,127,43621,43748,Kyaiklatt,MMR017025
