Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,297,7219,7516,Kyaikto,MMR011009
 Rural,418,30154,30572,Kyaikto,MMR011009
 Total,715,37373,38088,Kyaikto,MMR011009
