Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,73,2241,2314,Maungtaw,MMR012009
 Rural,33,5043,5076,Maungtaw,MMR012009
 Total,106,7284,7390,Maungtaw,MMR012009
