Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,2431,56080,58511,Shwepyitha,MMR013007
 Rural,345,14919,15264,Shwepyitha,MMR013007
 Total,2776,70999,73775,Shwepyitha,MMR013007
