Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,40,1152,1192,Maukme`,MMR014020
 Rural,37,5965,6002,Maukme`,MMR014020
 Total,77,7117,7194,Maukme`,MMR014020
