Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1703,9391,11094,Tachileik,MMR016009
 Rural,2045,18040,20085,Tachileik,MMR016009
 Total,3748,27431,31179,Tachileik,MMR016009
