Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,172,1493,1665,Karli(ST),MMR014014
 Rural,108,4794,4902,Karli(ST),MMR014014
 Total,280,6287,6567,Karli(ST),MMR014014
