Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,67,1726,1793,Tagaung,MMR010012
 Rural,82,5517,5599,Tagaung,MMR010012
 Total,149,7243,7392,Tagaung,MMR010012
