Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,26,1162,1188,Thabeikkyin,MMR010012
 Rural,395,24166,24561,Thabeikkyin,MMR010012
 Total,421,25328,25749,Thabeikkyin,MMR010012
