Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,584,8165,8749,Hlegu,MMR013004
 Rural,1175,48099,49274,Hlegu,MMR013004
 Total,1759,56264,58023,Hlegu,MMR013004
