Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,39,1267,1306,Mannaung,MMR017011
 Rural,37,13392,13429,Mannaung,MMR017011
 Total,76,14659,14735,Mannaung,MMR017011
