Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,7,339,346,Manhero(ST),MMR015009
 Rural,101,1196,1297,Manhero(ST),MMR015009
 Total,108,1535,1643,Manhero(ST),MMR015009
