Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,166,5734,5900,Nyaungdon,MMR017021
 Rural,187,45114,45301,Nyaungdon,MMR017021
 Total,353,50848,51201,Nyaungdon,MMR017021
