Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,384,4840,5224,Panglong(ST),MMR014011
 Rural,104,9188,9292,Panglong(ST),MMR014011
 Total,488,14028,14516,Panglong(ST),MMR014011
