Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,24,2466,2490,Tada(ST),MMR013024
 Rural,17,6986,7003,Tada(ST),MMR013024
 Total,41,9452,9493,Tada(ST),MMR013024
