Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,340,5337,5677,Yatsauk,MMR014008
 Rural,328,19952,20280,Yatsauk,MMR014008
 Total,668,25289,25957,Yatsauk,MMR014008
