Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,144,3287,3431,Phekon,MMR014010
 Rural,421,16232,16653,Phekon,MMR014010
 Total,565,19519,20084,Phekon,MMR014010
