Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,71,5186,5257,Zalun,MMR017009
 Rural,91,36725,36816,Zalun,MMR017009
 Total,162,41911,42073,Zalun,MMR017009
