Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,308,4587,4895,Ottarathiri,MMR018008
 Rural,227,13539,13766,Ottarathiri,MMR018008
 Total,535,18126,18661,Ottarathiri,MMR018008
