Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,497,6311,6808,Tantyan,MMR015004
 Rural,377,27957,28334,Tantyan,MMR015004
 Total,874,34268,35142,Tantyan,MMR015004
