Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,760,8755,9515,Nyaung U,MMR010022
 Rural,510,34637,35147,Nyaung U,MMR010022
 Total,1270,43392,44662,Nyaung U,MMR010022
