Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,51,7532,7583,Mawlamyinegyun,MMR017018
 Rural,73,67230,67303,Mawlamyinegyun,MMR017018
 Total,124,74762,74886,Mawlamyinegyun,MMR017018
