Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,30,1714,1744,Chaungzon,MMR011003
 Rural,241,25959,26200,Chaungzon,MMR011003
 Total,271,27673,27944,Chaungzon,MMR011003
