Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,31,3808,3839,Kyauktaw,MMR012004
 Rural,75,32581,32656,Kyauktaw,MMR012004
 Total,106,36389,36495,Kyauktaw,MMR012004
