Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,19,567,586,Minelon(ST),MMR015012
 Rural,30,5240,5270,Minelon(ST),MMR015012
 Total,49,5807,5856,Minelon(ST),MMR015012
