Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,4602,21316,25918,Mingala Taungnyunt,MMR013022
 Total,4602,21316,25918,Mingala Taungnyunt,MMR013022
