Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,2288,11046,13334,MuSe,MMR015009
 Rural,757,8123,8880,MuSe,MMR015009
 Total,3045,19169,22214,MuSe,MMR015009
