Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,237,9817,10054,Phyapon,MMR017023
 Rural,92,31484,31576,Phyapon,MMR017023
 Total,329,41301,41630,Phyapon,MMR017023
