Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,653,7593,8246,Zeyarthiri,MMR018001
 Rural,462,17367,17829,Zeyarthiri,MMR018001
 Total,1115,24960,26075,Zeyarthiri,MMR018001
