Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,320,2739,3059,Nyaungshwe,MMR014002
 Rural,375,39200,39575,Nyaungshwe,MMR014002
 Total,695,41939,42634,Nyaungshwe,MMR014002
