Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,3863,3863,Taungtha,MMR010018
 Rural,271,45718,45989,Taungtha,MMR010018
 Total,271,49581,49852,Taungtha,MMR010018
