Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,17,32708,32725,South Okkalapa,MMR013011
 Total,17,32708,32725,South Okkalapa,MMR013011
