Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,109,3841,3950,Kyaungon,MMR017007
 Rural,3118,34334,37452,Kyaungon,MMR017007
 Total,3227,38175,41402,Kyaungon,MMR017007
