Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,585,586,Minelon(ST),MMR015012
 Rural,1,5269,5270,Minelon(ST),MMR015012
 Total,2,5854,5856,Minelon(ST),MMR015012
