Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,2842,2842,Natogyi,MMR010019
 Rural,112,38011,38123,Natogyi,MMR010019
 Total,112,40853,40965,Natogyi,MMR010019
