Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,23,1165,1188,Thabeikkyin,MMR010012
 Rural,203,24358,24561,Thabeikkyin,MMR010012
 Total,226,25523,25749,Thabeikkyin,MMR010012
