Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,33,10759,10792,Mudon,MMR011005
 Rural,249,28271,28520,Mudon,MMR011005
 Total,282,39030,39312,Mudon,MMR011005
