Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,143,7131,7274,Myauk U,MMR012003
 Rural,2059,32192,34251,Myauk U,MMR012003
 Total,2202,39323,41525,Myauk U,MMR012003
