Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,91,91,Monehta(ST),MMR016008
 Rural,-,838,838,Monehta(ST),MMR016008
 Total,-,929,929,Monehta(ST),MMR016008
