Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,90,11625,11715,Thanbyuzayat,MMR011004
 Rural,145,24374,24519,Thanbyuzayat,MMR011004
 Total,235,35999,36234,Thanbyuzayat,MMR011004
