Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,1469,1470,Mineye`,MMR015003
 Rural,36,11822,11858,Mineye`,MMR015003
 Total,37,13291,13328,Mineye`,MMR015003
