Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,263,25068,25331,Dala,MMR013030
 Rural,186,12395,12581,Dala,MMR013030
 Total,449,37463,37912,Dala,MMR013030
