Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,8,5303,5311,Madaya,MMR010009
 Rural,6494,46840,53334,Madaya,MMR010009
 Total,6502,52143,58645,Madaya,MMR010009
