Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,989,989,Mineyan,MMR016003
 Rural,5,9125,9130,Mineyan,MMR016003
 Total,5,10114,10119,Mineyan,MMR016003
