Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,153,2388,2541,Ngaputaw,MMR017004
 Rural,5673,29162,34835,Ngaputaw,MMR017004
 Total,5826,31550,37376,Ngaputaw,MMR017004
