Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,137,12376,12513,Myaungmya,MMR017014
 Rural,8458,45201,53659,Myaungmya,MMR017014
 Total,8595,57577,66172,Myaungmya,MMR017014
