Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,284,284,Minekoke(ST),MMR016006
 Rural,-,2918,2918,Minekoke(ST),MMR016006
 Total,-,3202,3202,Minekoke(ST),MMR016006
