Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,127,4470,4597,Ngathaingchaung(ST),MMR017006
 Rural,3362,14954,18316,Ngathaingchaung(ST),MMR017006
 Total,3489,19424,22913,Ngathaingchaung(ST),MMR017006
