Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,95,2153,2248,Yanbye,MMR012013
 Rural,553,19617,20170,Yanbye,MMR012013
 Total,648,21770,22418,Yanbye,MMR012013
