Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,60,52987,53047,Chanmyatharzi,MMR010004
 Total,60,52987,53047,Chanmyatharzi,MMR010004
