Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,263,19566,19829,Hinthada,MMR017008
 Rural,3887,62413,66300,Hinthada,MMR017008
 Total,4150,81979,86129,Hinthada,MMR017008
