Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,131,3418,3549,Hainggyikyun(ST),MMR017004
 Rural,2077,23449,25526,Hainggyikyun(ST),MMR017004
 Total,2208,26867,29075,Hainggyikyun(ST),MMR017004
