Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,2,5325,5327,Yame`thin,MMR010023
 Rural,86,51846,51932,Yame`thin,MMR010023
 Total,88,57171,57259,Yame`thin,MMR010023
