Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,1780,1780,Singaing,MMR010014
 Rural,464,31335,31799,Singaing,MMR010014
 Total,464,33115,33579,Singaing,MMR010014
