Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,602,22460,23062,Kyimyindine,MMR013038
 Total,602,22460,23062,Kyimyindine,MMR013038
