Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,37,4578,4615,Minbya,MMR012005
 Rural,1266,30747,32013,Minbya,MMR012005
 Total,1303,35325,36628,Minbya,MMR012005
