Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,4682,4683,Kukai,MMR015011
 Rural,5,14343,14348,Kukai,MMR015011
 Total,6,19025,19031,Kukai,MMR015011
