Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,1333,1333,Minepyin,MMR016007
 Rural,29,9243,9272,Minepyin,MMR016007
 Total,29,10576,10605,Minepyin,MMR016007
