Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Rural,11,9274,9285,Mine Pauk(ST),MMR016003
 Total,11,9274,9285,Mine Pauk(ST),MMR016003
