Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,9,1149,1158,Kunlon,MMR015020
 Rural,25,9209,9234,Kunlon,MMR015020
 Total,34,10358,10392,Kunlon,MMR015020
