Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,6,34093,34099,Lashio,MMR015001
 Rural,17,30816,30833,Lashio,MMR015001
 Total,23,64909,64932,Lashio,MMR015001
