Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,145,9970,10115,Bogale,MMR017024
 Rural,15062,50810,65872,Bogale,MMR017024
 Total,15207,60780,75987,Bogale,MMR017024
